dataset,target_model,method,method_variant,backend,n_counterfactuals,seed_n,primary_coverage_mean,primary_coverage_std,primary_coverage_n,primary_validity_returned_class_mean,primary_validity_returned_class_std,primary_validity_returned_class_n,primary_validity_returned_threshold_mean,primary_validity_returned_threshold_std,primary_validity_returned_threshold_n,proximity_grouped_gower_mean,proximity_grouped_gower_std,proximity_grouped_gower_n,action_unit_sparsity_mean_mean,action_unit_sparsity_mean_std,action_unit_sparsity_mean_n
give_me_some_credit,retained_xgboost,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.312,0.0,5,0.02350393110037985,0.0,5,0.524,0.0,5
give_me_some_credit,retained_logistic_regression,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.3423999999999999,0.01971801207018597,5,0.09286401497795514,0.00039224192504645083,5,1.0,0.012328828005937964,5
give_me_some_credit,retained_mlp,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.40800000000000003,0.024657656011875903,5,0.10240524675834808,0.0007217349631503617,5,1.0984000000000003,0.009208691546577078,5
give_me_some_credit,retained_xgboost,growing_spheres,default,,1,5,0.9984,0.002190890230020666,5,1.0,0.0,5,0.03365140562248996,0.0035586118539570662,5,0.01653828966589678,0.0006672078024683951,5,0.21874698795180722,0.008197644034713607,5
give_me_some_credit,retained_logistic_regression,nice,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.044,0.0,5,0.05295775656494668,7.757919228897728e-18,5,1.428,0.0,5
give_me_some_credit,retained_mlp,nice,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.064,0.0,5,0.06947428934414046,0.0,5,1.8199999999999998,2.482534153247273e-16,5
give_me_some_credit,retained_xgboost,nice,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.172,0.0,5,0.0165717480400003,0.0,5,0.252,0.0,5
give_me_some_credit,retained_logistic_regression,wachter,default,,1,5,0.9960000000000001,1.2412670766236366e-16,5,1.0,0.0,5,0.10441767068273092,0.0,5,0.08964326900671324,0.0,5,1.0321285140562249,0.0,5
give_me_some_credit,retained_mlp,wachter,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.1,0.0,5,0.09821781306248423,0.0,5,1.048,0.0,5
give_me_some_credit,retained_xgboost,wachter,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.04,0.0,5,0.01911984686661018,0.0,5,0.22800000000000004,3.1031676915590914e-17,5
heloc,retained_logistic_regression,countercontex,default,tabicl,1,5,0.9960000000000001,1.2412670766236366e-16,5,1.0,0.0,5,0.0,0.0,5,0.013243879321022656,1.939479807224432e-18,5,1.321285140562249,0.0,5
heloc,retained_mlp,countercontex,default,tabicl,1,5,0.992,0.0,5,1.0,0.0,5,0.0,0.0,5,0.024305680857156238,0.0,5,1.8427419354838712,2.482534153247273e-16,5
heloc,retained_xgboost,countercontex,default,tabicl,1,5,0.9640000000000001,1.2412670766236366e-16,5,1.0,0.0,5,0.0,0.0,5,0.016297607720281305,0.0,5,1.904564315352697,0.0,5
heloc,retained_logistic_regression,dice,default,,1,5,0.9120000000000001,0.010583005244258372,5,1.0,0.0,5,0.0,0.0,5,0.018030978509774295,8.043391387221291e-05,5,2.0560008011755686,0.01969135130761353,5
heloc,retained_mlp,dice,default,,1,5,0.9016,0.010430723848324247,5,1.0,0.0,5,0.0,0.0,5,0.02225605806865396,0.0004107123815424418,5,2.5293341384334562,0.08008053412545352,5
heloc,retained_xgboost,dice,default,,1,5,0.8736,0.013740451229854147,5,1.0,0.0,5,0.0,0.0,5,0.011217110377465849,0.0005512545893255213,5,1.6012294193449812,0.04335060620991846,5
heloc,retained_logistic_regression,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.004,0.0,5,0.04308371932982751,0.0,5,6.836,0.0,5
heloc,retained_mlp,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.004,0.0,5,0.04684424911309844,0.0,5,7.2,0.0,5
heloc,retained_xgboost,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.04,0.0,5,0.041507715851068494,0.0,5,6.9079999999999995,9.930136612989092e-16,5
heloc,retained_logistic_regression,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.015914352040914757,0.00038972297724896345,5,2.3663999999999996,0.04387254266622808,5
heloc,retained_mlp,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.02326971194247949,0.00020922094401427848,5,3.2304000000000004,0.08239417455136,5
heloc,retained_xgboost,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.0032,0.001788854381999832,5,0.00828703649488072,8.498807875319421e-05,5,1.1792,0.02027806696901854,5
heloc,retained_logistic_regression,nice,default,,1,5,0.668,0.0,5,1.0,0.0,5,0.0,0.0,5,0.015436287158292756,1.939479807224432e-18,5,2.395209580838323,0.0,5
heloc,retained_mlp,nice,default,,1,5,0.52,0.0,5,1.0,0.0,5,0.0,0.0,5,0.01744554791269344,0.0,5,2.853846153846154,0.0,5
heloc,retained_xgboost,nice,default,,1,5,0.516,0.0,5,1.0,0.0,5,0.007751937984496124,0.0,5,0.010443772021072115,0.0,5,1.7829457364341086,0.0,5
heloc,retained_logistic_regression,wachter,default,,1,5,0.984,0.0,5,1.0,0.0,5,0.0,0.0,5,0.011966447195662581,0.0,5,1.1788617886178863,0.0,5
heloc,retained_mlp,wachter,default,,1,5,0.984,0.0,5,1.0,0.0,5,0.0,0.0,5,0.021455610202280127,0.0,5,1.556910569105691,0.0,5
heloc,retained_xgboost,wachter,default,,1,5,0.9879999999999999,1.2412670766236366e-16,5,1.0,0.0,5,0.0,0.0,5,0.009263487270059961,0.0,5,1.145748987854251,0.0,5
lending_club,retained_logistic_regression,countercontex,default,tabicl,1,5,1.0,0.0,5,1.0,0.0,5,0.252,0.0,5,0.10514903334504666,0.0,5,1.384,0.0,5
lending_club,retained_mlp,countercontex,default,tabicl,1,5,1.0,0.0,5,1.0,0.0,5,0.2,0.0,5,0.09656528144631792,0.0,5,1.168,0.0,5
lending_club,retained_xgboost,countercontex,default,tabicl,1,5,1.0,0.0,5,1.0,0.0,5,0.136,0.0,5,0.06640402780914738,0.0,5,0.828,0.0,5
lending_club,retained_logistic_regression,dice,default,,1,5,0.9872,0.004381780460041332,5,1.0,0.0,5,0.14749541043797534,0.004880445198129169,5,0.10817899548826622,0.0009549437711508101,5,1.5632244951481773,0.01248352950517798,5
lending_club,retained_mlp,dice,default,,1,5,0.9984,0.002190890230020666,5,1.0,0.0,5,0.15625060240963856,0.004022702946745894,5,0.09960468375898356,0.00039234712306314114,5,1.2491855421686746,0.009552712792944661,5
lending_club,retained_xgboost,dice,default,,1,5,0.9975999999999999,0.002190890230020666,5,1.0,0.0,5,0.18364337349397591,0.012548860458546968,5,0.07461398333898046,0.0011123099016295658,5,0.954281124497992,0.014675123036668299,5
lending_club,retained_logistic_regression,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.152,0.0,5,0.16734705893427076,0.0,5,5.232,0.0,5
lending_club,retained_mlp,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.092,0.0,5,0.165436208812203,0.0,5,5.052,0.0,5
lending_club,retained_xgboost,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.02,0.0,5,0.1317904129806591,0.0,5,4.716,0.0,5
lending_club,retained_logistic_regression,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.2544,0.008294576541331096,5,0.09205345021153555,0.0007663102304873641,5,1.3152000000000001,0.030384206423732737,5
lending_club,retained_mlp,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.1936,0.0066932802122726,5,0.09587545221764326,0.00032206410168233123,5,1.1552,0.003346640106136305,5
lending_club,retained_xgboost,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.092,0.0028284271247461927,5,0.0585510266130609,0.0003596191972678291,5,0.6960000000000001,0.0040000000000000036,5
lending_club,retained_logistic_regression,nice,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.21600000000000003,3.1031676915590914e-17,5,0.09765871960832766,0.0,5,1.572,0.0,5
lending_club,retained_mlp,nice,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.16,0.0,5,0.09640831854724355,0.0,5,1.272,0.0,5
lending_club,retained_xgboost,nice,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.10400000000000001,1.5515838457795457e-17,5,0.0662715448998559,0.0,5,1.128,0.0,5
lending_club,retained_logistic_regression,wachter,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.148,0.0,5,0.07795622974795492,0.0,5,1.22,0.0,5
lending_club,retained_mlp,wachter,default,,1,5,0.9960000000000001,1.2412670766236366e-16,5,1.0,0.0,5,0.18875502008032127,0.0,5,0.08967226967844416,0.0,5,1.1526104417670682,0.0,5
lending_club,retained_xgboost,wachter,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.172,0.0,5,0.06848179115280562,0.0,5,0.8800000000000001,1.2412670766236366e-16,5
